p,q,theta,mu,rhoA0,rhoA,rhoB,rho
100,1500,0.1,0.0,0.0,0.0,0.0,0.0
100,1500,0.1,0.0,0.025,1.0,0.0,0.5
100,1500,0.1,0.0,0.05,1.0,0.0,0.5
100,1500,0.1,0.0,0.07500000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.1,1.0,0.0,0.5
100,1500,0.1,0.0,0.125,1.0,0.0,0.5
100,1500,0.1,0.0,0.15000000000000002,1.0,0.0,0.5
100,1500,0.1,0.0,0.17500000000000002,1.0,0.0,0.5
100,1500,0.1,0.0,0.2,1.0,0.0,0.5
100,1500,0.1,0.0,0.225,1.0,0.0,0.5
100,1500,0.1,0.0,0.25,1.0,0.0,0.5
100,1500,0.1,0.0,0.275,1.0,0.0,0.5
100,1500,0.1,0.0,0.30000000000000004,1.0,0.0,0.5
100,1500,0.1,0.0,0.325,1.0,0.0,0.5
100,1500,0.1,0.0,0.35000000000000003,1.0,0.0,0.5
100,1500,0.1,0.0,0.375,1.0,0.0,0.5
100,1500,0.1,0.0,0.4,1.0,0.0,0.5
100,1500,0.1,0.0,0.42500000000000004,1.0,0.0,0.5
100,1500,0.1,0.0,0.45,1.0,0.0,0.5
100,1500,0.1,0.0,0.47500000000000003,1.0,0.0,0.5
100,1500,0.1,0.0,0.5,1.0,0.0,0.5
100,1500,0.1,0.0,0.525,1.0,0.0,0.5
100,1500,0.1,0.0,0.55,1.0,0.0,0.5
100,1500,0.1,0.0,0.5750000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.6000000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.625,1.0,0.0,0.5
100,1500,0.1,0.0,0.65,1.0,0.0,0.5
100,1500,0.1,0.0,0.675,1.0,0.0,0.5
100,1500,0.1,0.0,0.7000000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.7250000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.75,1.0,0.0,0.5
100,1500,0.1,0.0,0.775,1.0,0.0,0.5
100,1500,0.1,0.0,0.8,1.0,0.0,0.5
100,1500,0.1,0.0,0.8250000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.8500000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.875,1.0,0.0,0.5
100,1500,0.1,0.0,0.9,1.0,0.0,0.5
100,1500,0.1,0.0,0.925,1.0,0.0,0.5
100,1500,0.1,0.0,0.9500000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,0.9750000000000001,1.0,0.0,0.5
100,1500,0.1,0.0,1.0,1.0,0.0,0.5
100,1500,0.2,0.0,0.0,0.0,0.0,0.0
100,1500,0.2,0.0,0.025,0.02506357163518963,0.0,0.012531785817594815
100,1500,0.2,0.0,0.05,0.05261817349133028,0.0,0.02630908674566514
100,1500,0.2,0.0,0.07500000000000001,1.0,0.0,0.5
100,1500,0.2,0.0,0.1,1.0,0.0,0.5
100,1500,0.2,0.0,0.125,1.0,0.0,0.5
100,1500,0.2,0.0,0.15000000000000002,1.0,0.0,0.5
100,1500,0.2,0.0,0.17500000000000002,1.0,0.0,0.5
100,1500,0.2,0.0,0.2,1.0,0.0,0.5
100,1500,0.2,0.0,0.225,1.0,0.0,0.5
100,1500,0.2,0.0,0.25,1.0,0.0,0.5
100,1500,0.2,0.0,0.275,1.0,0.0,0.5
100,1500,0.2,0.0,0.30000000000000004,1.0,0.0,0.5
100,1500,0.2,0.0,0.325,1.0,0.0,0.5
100,1500,0.2,0.0,0.35000000000000003,1.0,0.0,0.5
100,1500,0.2,0.0,0.375,1.0,0.0,0.5
100,1500,0.2,0.0,0.4,1.0,0.0,0.5
100,1500,0.2,0.0,0.42500000000000004,1.0,0.0,0.5
