p,pi,theta,n,G2_z
100,0.0,0.1,nan,nan
100,0.0,0.11,nan,nan
100,0.0,0.12000000000000001,nan,nan
100,0.0,0.13,nan,nan
100,0.0,0.14,nan,nan
100,0.0,0.15000000000000002,nan,nan
100,0.0,0.16,nan,nan
100,0.0,0.17,nan,nan
100,0.0,0.18,nan,nan
100,0.0,0.19,nan,nan
100,0.0,0.2,nan,nan
100,0.0,0.21000000000000002,nan,nan
100,0.0,0.22,nan,nan
100,0.0,0.23,nan,nan
100,0.0,0.24000000000000002,nan,nan
100,0.0,0.25,nan,nan
100,0.0,0.26,nan,nan
100,0.0,0.27,nan,nan
100,0.0,0.28,nan,nan
100,0.0,0.29000000000000004,nan,nan
100,0.0,0.30000000000000004,nan,nan
100,0.0,0.31,nan,nan
100,0.0,0.32,nan,nan
100,0.0,0.33,nan,nan
100,0.0,0.33999999999999997,nan,nan
100,0.0,0.35,nan,nan
100,0.0,0.36,nan,nan
100,0.0,0.37,nan,nan
100,0.0,0.38,nan,nan
100,0.0,0.39,nan,nan
100,0.0,0.4,nan,nan
100,0.0,0.41000000000000003,nan,nan
100,0.0,0.42000000000000004,nan,nan
100,0.0,0.43000000000000005,nan,nan
100,0.0,0.44000000000000006,nan,nan
100,0.0,0.45000000000000007,nan,nan
100,0.0,0.45999999999999996,nan,nan
100,0.0,0.47,nan,nan
100,0.0,0.48,nan,nan
100,0.0,0.49,nan,nan
100,0.0,0.5,nan,nan
100,0.004,0.1,1.6513157893448211,0.39199999989301754
100,0.004,0.11,1.6513157861732775,0.39199999729420054
100,0.004,0.12000000000000001,1.6513157148725033,0.3919999397737178
100,0.004,0.13,1.6513143218319621,0.3919988380352401
100,0.004,0.14,1.6513143218319621,0.3919988380352401
100,0.004,0.15000000000000002,1.6512911037202835,0.3919809467603966
100,0.004,0.16,1.6512911037202835,0.3919809467603966
100,0.004,0.17,1.6509691140398322,0.39174143453265253
100,0.004,0.18,1.6509691140398322,0.39174143453265253
100,0.004,0.19,1.6509691140398322,0.39174143453265253
100,0.004,0.2,1.6509691140398322,0.39174143453265253
100,0.004,0.21000000000000002,1.6473917552767783,0.38920362411953496
100,0.004,0.22,1.6473917552767783,0.38920362411953496
100,0.004,0.23,1.6473917552767783,0.38920362411953496
100,0.004,0.24000000000000002,1.6473917552767783,0.38920362411953496
100,0.004,0.25,1.6473917552767783,0.38920362411953496
100,0.004,0.26,1.6179311730879435,0.36924842013428366
100,0.004,0.27,1.6179311730879435,0.36924842013428366
100,0.004,0.28,1.6179311730879435,0.36924842013428366
100,0.004,0.29000000000000004,1.6179311730879435,0.36924842013428366
100,0.004,0.30000000000000004,1.6179311730879435,0.36924842013428366
100,0.004,0.31,1.6179311730879435,0.36924842013428366
100,0.004,0.32,1.6179311730879435,0.36924842013428366
100,0.004,0.33,1.6179311730879435,0.36924842013428366
100,0.004,0.33999999999999997,1.4699085458646852,0.26573079946079875
100,0.004,0.35,1.4699085458646852,0.26573079946079875
100,0.004,0.36,1.4699085458646852,0.26573079946079875
100,0.004,0.37,1.4699085458646852,0.26573079946079875
100,0.004,0.38,1.4699085458646852,0.26573079946079875
100,0.004,0.39,1.4699085458646852,0.26573079946079875
100,0.004,0.4,1.4699085458646852,0.26573079946079875
100,0.004,0.41000000000000003,1.4699085458646852,0.26573079946079875
100,0.004,0.42000000000000004,1.4699085458646852,0.26573079946079875
100,0.004,0.43000000000000005,1.4699085458646852,0.26573079946079875
100,0.004,0.44000000000000006,1.4699085458646852,0.26573079946079875
100,0.004,0.45000000000000007,1.4699085458646852,0.26573079946079875
100,0.004,0.45999999999999996,1.4699085458646852,0.26573079946079875
100,0.004,0.47,1.4699085458646852,0.26573079946079875
100,0.004,0.48,1.4699085458646852,0.26573079946079875
100,0.004,0.49,1.4699085458646852,0.26573079946079875
100,0.004,0.5,1.4699085458646852,0.26573079946079875
100,0.008,0.1,4.666665253521682,0.7839999202099416
100,0.008,0.11,4.666648699828324,0.7839989901662298
100,0.008,0.12000000000000001,4.666465184191316,0.7839887390177619
100,0.008,0.13,4.664702497242733,0.7838909588323756
100,0.008,0.14,4.664702497242733,0.7838909588323756
100,0.008,0.15000000000000002,4.650364922842679,0.7831002147244691
100,0.008,0.16,4.650364922842679,0.7831002147244691
100,0.008,0.17,4.5560985399300264,0.7778285873384262
100,0.008,0.18,4.5560985399300264,0.7778285873384262
100,0.008,0.19,4.5560985399300264,0.7778285873384262
100,0.008,0.2,4.5560985399300264,0.7778285873384262
100,0.008,0.21000000000000002,4.115433955787124,0.7500123407056886
100,0.008,0.22,4.115433955787124,0.7500123407056886
100,0.008,0.23,4.115433955787124,0.7500123407056886
100,0.008,0.24000000000000002,4.115433955787124,0.7500123407056886
100,0.008,0.25,4.115433955787124,0.7500123407056886
100,0.008,0.26,3.0063649930925083,0.6410897749438084
100,0.008,0.27,3.0063649930925083,0.6410897749438084
100,0.008,0.28,3.0063649930925083,0.6410897749438084
100,0.008,0.29000000000000004,3.0063649930925083,0.6410897749438084
100,0.008,0.30000000000000004,3.0063649930925083,0.6410897749438084
100,0.008,0.31,3.0063649930925083,0.6410897749438084
100,0.008,0.32,3.0063649930925083,0.6410897749438084
100,0.008,0.33,3.0063649930925083,0.6410897749438084
100,0.008,0.33999999999999997,1.7757011427566594,0.3597064800589678
100,0.008,0.35,1.7757011427566594,0.3597064800589678
100,0.008,0.36,1.7757011427566594,0.3597064800589678
100,0.008,0.37,1.7757011427566594,0.3597064800589678
100,0.008,0.38,1.7757011427566594,0.3597064800589678
